net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
40,rand_st,none,0.0,100,1.0,16.0,530.3939393939393,0.058712121212121215,0.9393939393939394,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
41,rand_st,none,0.0,100,1.0,15.0,529.0909090909091,0.060606060606060594,0.909090909090909,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
42,rand_st,none,0.0,100,1.0,15.0,529.5252525252525,0.061279461279461274,0.9191919191919191,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
43,rand_st,none,0.0,96,0.96,18.0,528.9263157894737,0.050292397660818715,0.9052631578947369,nan,nan,95.0,95.0,0.0,nan,0,nan,nan
44,rand_st,none,0.0,100,1.0,16.0,528.2222222222224,0.05555555555555557,0.8888888888888892,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
45,rand_st,none,0.0,100,1.0,15.0,530.3939393939393,0.06262626262626261,0.9393939393939394,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
46,rand_st,none,0.0,99,0.99,16.0,529.4897959183673,0.05739795918367348,0.9183673469387756,nan,nan,98.0,98.0,0.0,nan,0,nan,nan
47,rand_st,none,0.0,100,1.0,17.0,526.0505050505052,0.049316696375519914,0.8383838383838386,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
48,rand_st,none,0.0,99,0.99,18.0,527.2959183673469,0.0481859410430839,0.8673469387755102,nan,nan,98.0,98.0,0.0,nan,0,nan,nan
49,rand_st,none,0.0,100,1.0,16.0,527.3535353535354,0.05429292929292929,0.8686868686868686,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
0,rand_st,none,0.02,99,0.99,19.0,533.7082,0.050786251342642315,0.9649387755102041,114.09591836734694,262.04999999999586,92.436,98.0,0.0,1.0,0,0.0,1.0
1,rand_st,none,0.02,100,1.0,15.0,535.0564767676768,0.06568619528619529,0.9852929292929293,134.20696721311475,304.0,92.456,99.0,0.0,1.0,0,0.0,1.0
