net,traffic,scheme,lam,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,memoryless,dbaps,0.0,15.624,544.7590122448981,0.06106464644851579,0.9497142857142857,43.473305338932214,116.0,35.48,67.816,0.44197832925550506,0.6927542963307014,0,0.3077384523095381,1.0
1,memoryless,dbaps,0.0,14.84,548.3736000000001,0.06762062525181955,1.000969696969697,41.69875076797051,115.0,35.048,70.192,0.4468226157780093,0.6962882687618531,0,0.28548023755887775,1.0
2,memoryless,dbaps,0.0,15.876,546.5091838383839,0.06128006975060639,0.9703434343434344,42.167368210062136,116.0,34.708,69.888,0.4449807812639671,0.6952990401181393,0,0.28863499699338546,1.0
3,memoryless,dbaps,0.0,14.352,543.7143795918369,0.06513359167842961,0.9334285714285714,41.320468076370354,114.0,35.48,67.956,0.4469000421762969,0.6957780458383594,0,0.30055430096489427,1.0
4,memoryless,dbaps,0.0,14.52,545.781486868687,0.06649614483687567,0.9629494949494949,43.064007976071785,115.0,35.508,68.716,0.4424442190669371,0.6926210955183341,0,0.30767696909272185,1.0
5,memoryless,dbaps,0.0,15.22,545.4027041666667,0.06275064156707442,0.9532916666666668,42.39706806282722,115.0,33.672,67.356,0.4431208053691275,0.6875288683602772,0,0.30387434554973825,1.0
6,memoryless,dbaps,0.0,15.492,546.2537292929294,0.0629050612365886,0.9718383838383838,42.95781933943494,116.0,35.008,69.104,0.44354197934139666,0.6913491492930746,0,0.301233585356148,1.0
7,memoryless,dbaps,0.0,13.864,542.5572363636364,0.06595996726584961,0.9126868686868687,41.728600405679515,114.0,36.396,68.292,0.44589972470176026,0.6945812807881774,0,0.30324543610547666,1.0
8,memoryless,dbaps,0.0,17.124,543.0108606060606,0.053794766153847685,0.9177777777777778,43.713396264310106,117.0,36.136,69.424,0.44430538172715894,0.6936515748031497,0,0.30006025306286405,1.0
9,memoryless,dbaps,0.0,15.748,543.4596282828284,0.05930560474193085,0.9282020202020204,43.257286432160804,117.0,36.84,68.752,0.4437814338078595,0.692668072148044,0,0.30110552763819093,1.0
