net,sigma,transmissions,L_A,failed_A,L_B,failed_B,L_T,failed_T
3,12,98,24,0,21,0,12,61
4,12,99,24,0,23,0,13,72
5,12,99,24,0,21,0,14,60
6,12,99,23,0,21,0,10,59
7,12,99,24,0,20,0,16,57
8,12,99,28,0,24,0,18,65
9,12,99,26,0,21,0,14,63
10,12,99,27,0,21,0,13,55
11,12,99,27,0,24,0,12,63
12,12,99,25,0,22,0,16,55
13,12,99,26,0,20,0,15,42
14,12,99,25,0,21,0,13,58
15,12,99,24,0,20,0,13,58
16,12,99,25,0,20,0,13,58
17,12,99,27,0,23,0,12,66
18,12,99,25,0,21,0,13,63
19,12,99,25,0,20,0,12,64
20,12,99,21,0,18,0,11,65
21,12,99,23,0,20,0,11,57
22,12,96,24,0,19,0,10,61
23,12,96,26,0,23,0,12,57
24,12,99,23,0,20,0,11,61
25,12,98,26,0,22,0,14,63
26,12,99,24,0,21,0,14,58
27,12,99,24,0,19,0,14,58
28,12,99,22,0,20,0,14,52
29,12,99,25,0,20,0,10,68
30,12,99,24,0,20,0,12,56
31,12,99,23,0,20,0,11,67
32,12,99,23,0,20,0,13,63
33,12,99,27,0,20,0,11,64
34,12,99,23,0,19,0,11,64
35,12,99,32,0,27,0,24,59
36,12,96,25,0,21,0,13,54
37,12,99,28,0,21,0,11,63
38,12,99,23,0,18,0,13,57
39,12,99,24,0,20,0,12,55
40,12,99,24,0,22,0,12,54
41,12,99,24,0,21,0,12,67
42,12,99,25,0,20,0,11,65
43,12,95,26,0,21,0,12,52
44,12,99,26,0,21,0,11,63
45,12,99,22,0,19,0,11,55
46,12,99,26,0,22,0,11,68
47,12,99,22,0,21,0,18,47
48,12,98,25,0,23,0,17,61
49,12,99,25,0,22,0,16,62
0,14,98,31,0,22,0,15,57
1,14,99,25,0,22,0,11,65
2,14,99,30,0,22,0,15,56
3,14,98,26,0,22,0,16,64
4,14,99,29,0,25,0,13,68
5,14,99,29,0,25,0,15,64
6,14,99,24,0,24,0,11,67
7,14,99,27,0,22,0,16,61
8,14,99,35,0,31,0,22,60
9,14,99,28,0,27,0,16,67
10,14,99,28,0,24,0,16,57
11,14,99,28,0,24,0,16,57
12,14,99,27,0,24,0,17,58
13,14,99,29,0,24,0,16,45
14,14,99,27,0,24,0,14,63
15,14,99,28,0,23,0,15,69
16,14,99,26,0,21,0,14,60
17,14,99,30,0,27,0,15,56
18,14,99,27,0,23,0,15,60
19,14,99,26,0,21,0,14,61
20,14,99,26,0,22,0,15,52
21,14,99,23,0,22,0,15,58
22,14,96,26,0,22,0,14,60
23,14,96,26,0,22,0,14,51
24,14,99,27,0,21,0,12,68
25,14,98,28,0,23,0,15,70
26,14,99,27,0,25,0,16,63
27,14,99,26,0,23,0,16,67
28,14,99,24,0,21,0,18,52
29,14,99,24,0,23,0,13,66
30,14,99,27,0,22,0,12,66
31,14,99,24,0,19,0,13,70
32,14,99,26,0,24,0,16,59
33,14,99,27,0,22,0,14,58
34,14,99,26,0,23,0,14,67
35,14,99,33,0,32,0,27,56
36,14,96,28,0,24,0,14,54
37,14,99,27,0,23,0,11,67
38,14,99,25,0,22,0,14,61
39,14,99,28,0,25,0,16,59
40,14,99,27,0,25,0,15,53
41,14,99,26,0,24,0,11,73
42,14,99,24,0,20,0,12,65
43,14,99,27,0,24,0,13,51
44,14,99,28,0,23,0,13,56
45,14,99,25,0,19,0,11,55
46,14,99,29,0,26,0,12,71
47,14,99,24,0,24,0,18,49
48,14,99,30,0,22,0,17,68
49,14,99,27,0,23,0,17,71
0,16,99,32,0,26,0,18,56
1,16,99,28,0,21,0,13,65
2,16,99,33,0,29,0,17,64
3,16,99,27,0,23,0,17,65
4,16,99,33,0,25,0,13,70
5,16,99,31,0,26,0,17,64
6,16,99,29,0,24,0,12,72
7,16,99,32,0,25,0,16,61
8,16,99,39,0,35,0,25,68
9,16,99,34,0,29,0,17,64
10,16,99,32,0,25,0,14,66
11,16,99,31,0,26,0,19,52
12,16,99,30,0,25,0,19,56
13,16,99,29,0,26,0,16,47
14,16,99,31,0,27,0,17,57
15,16,99,29,0,23,0,15,70
16,16,99,31,0,27,0,16,61
17,16,99,32,0,28,0,20,49
18,16,99,31,0,25,0,18,58
19,16,99,28,0,24,0,16,55
20,16,99,26,0,22,0,15,57
21,16,99,25,0,23,0,13,62
22,16,99,29,0,25,0,16,56
23,16,99,30,0,23,0,12,64
24,16,99,30,0,26,0,12,67
25,16,99,32,0,26,0,15,76
26,16,99,32,0,28,0,18,63
27,16,99,27,0,24,0,18,66
28,16,99,29,0,24,0,20,51
29,16,99,28,0,23,0,13,69
30,16,99,30,0,25,0,15,66
31,16,99,25,0,22,0,16,63
32,16,99,29,0,25,0,16,64
33,16,99,28,0,24,0,13,59
34,16,99,31,0,25,0,16,61
35,16,99,37,0,32,0,28,62
36,16,99,33,0,27,0,15,63
37,16,99,29,0,24,0,12,69
38,16,99,31,0,27,0,16,56
39,16,99,32,0,27,0,20,53
40,16,99,29,0,24,0,12,62
41,16,99,28,0,25,0,13,73
42,16,99,26,0,21,0,14,58
43,16,99,30,0,24,0,14,59
44,16,99,32,0,25,0,15,57
45,16,99,27,0,21,0,12,64
46,16,99,31,0,28,0,14,72
47,16,99,27,0,25,0,19,51
48,16,99,32,0,27,0,20,67
49,16,99,30,0,26,0,17,66
0,18,99,36,0,31,0,19,58
1,18,99,31,0,26,0,17,62
2,18,99,36,0,28,0,19,63
3,18,99,32,0,26,0,18,66
4,18,99,34,0,28,0,16,65
5,18,99,37,0,29,0,19,66
6,18,99,31,0,24,0,12,72
7,18,99,32,0,26,0,18,65
8,18,99,43,0,38,0,27,66
9,18,99,37,0,30,0,19,57
10,18,99,33,0,28,0,14,62
11,18,99,36,0,32,0,23,46
12,18,99,31,0,25,0,21,60
13,18,99,32,0,25,0,16,55
14,18,99,37,0,28,0,17,59
15,18,99,32,0,27,0,18,67
16,18,99,33,0,29,0,17,66
17,18,99,36,0,30,0,21,56
18,18,99,35,0,29,0,18,61
19,18,99,31,0,24,0,18,56
20,18,99,29,0,25,0,18,59
21,18,99,27,0,24,0,13,68
22,18,99,30,0,27,0,18,55
23,18,99,31,0,26,0,16,59
24,18,99,35,0,27,0,18,57
25,18,99,34,0,29,0,18,65
26,18,99,33,0,28,0,20,62
27,18,99,31,0,27,0,18,66
28,18,99,30,0,27,0,20,58
29,18,99,32,0,26,0,14,66
30,18,99,36,0,31,0,23,59
31,18,99,29,0,24,0,17,62
32,18,99,33,0,27,0,19,60
33,18,99,32,0,26,0,13,62
34,18,99,32,0,26,0,17,63
35,18,99,41,0,38,0,28,63
36,18,99,35,0,30,0,17,68
37,18,99,33,0,29,0,13,73
38,18,99,32,0,30,0,18,59
39,18,99,34,0,27,0,22,54
40,18,99,32,0,25,0,16,55
41,18,99,29,0,25,0,15,57
42,18,99,31,0,25,0,15,67
43,18,99,31,0,27,0,14,63
44,18,99,34,0,28,0,16,61
45,18,99,31,0,24,0,16,64
46,18,99,34,0,28,0,19,64
47,18,99,30,0,25,0,21,55
48,18,99,35,0,28,0,21,66
49,18,99,34,0,28,0,18,65
0,20,99,37,0,32,0,20,56
1,20,99,33,0,26,0,18,57
2,20,99,39,0,33,0,20,68
3,20,99,36,0,29,0,21,62
4,20,99,35,0,29,0,17,64
5,20,99,38,0,30,0,20,70
6,20,99,31,0,26,0,13,72
7,20,99,35,0,30,0,22,63
8,20,99,47,0,42,0,32,49
9,20,99,41,0,31,0,21,58
10,20,99,34,0,26,0,15,64
11,20,99,39,0,35,0,24,49
12,20,99,37,0,30,0,25,52
13,20,99,34,0,27,0,17,59
14,20,99,39,0,31,0,19,67
15,20,99,36,0,31,0,19,70
16,20,99,34,0,32,0,18,67
17,20,99,37,0,31,0,21,62
18,20,99,35,0,31,0,19,59
19,20,99,35,0,29,0,19,62
20,20,99,33,0,28,0,19,57
21,20,99,29,0,25,0,13,70
22,20,99,35,0,28,0,19,59
23,20,99,34,0,27,0,17,62
24,20,99,38,0,30,0,20,57
25,20,99,38,0,32,0,18,63
26,20,99,36,0,30,0,21,63
27,20,99,32,0,26,0,19,54
28,20,99,33,0,28,0,21,62
29,20,99,36,0,31,0,16,62
30,20,99,36,0,29,0,24,54
31,20,99,33,0,27,0,18,67
32,20,99,35,0,31,0,22,52
33,20,99,34,0,30,0,13,68
34,20,99,34,0,29,0,19,62
35,20,99,44,0,38,0,31,61
36,20,99,38,0,30,0,18,69
37,20,99,37,0,33,0,15,75
38,20,99,37,0,31,0,18,53
39,20,99,40,0,32,0,25,60
40,20,99,35,0,26,0,15,58
41,20,99,34,0,28,0,16,66
42,20,99,32,0,28,0,17,73
43,20,99,33,0,28,0,14,66
44,20,99,35,0,30,0,18,52
45,20,99,34,0,28,0,19,68
46,20,99,39,0,33,0,23,61
47,20,99,34,0,29,0,22,55
48,20,99,38,0,33,0,24,70
49,20,99,36,0,32,0,22,61
