net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,static,none,0.02,99,0.99,19.0,533.7002775510203,0.050779806659505905,0.9648163265306123,15.032454361054766,19.0,92.448,98.0,0.0,1.0,0,0.0,1.0
1,static,none,0.02,100,1.0,18.0,535.1289535353535,0.05477890011223345,0.9860202020202021,16.30879345603272,18.0,92.384,99.0,0.0,1.0,0,0.0,1.0
2,static,none,0.02,100,1.0,20.0,533.4367797979799,0.0475939393939394,0.9518787878787879,16.83195020746888,20.0,92.764,99.0,0.0,1.0,0,0.0,1.0
3,static,none,0.02,99,0.99,18.0,532.6482530612246,0.05236734693877551,0.9426122448979593,14.392781316348195,18.0,92.624,98.0,0.0,1.0,0,0.0,1.0
4,static,none,0.02,100,1.0,19.0,534.1875313131313,0.05107496012759171,0.9704242424242425,15.98995983935743,19.0,92.928,99.0,0.0,1.0,0,0.0,1.0
5,static,none,0.02,97,0.97,19.0,532.4769333333335,0.049184210526315796,0.9345,14.664596273291925,19.0,90.288,96.0,0.0,1.0,0,0.0,1.0
6,static,none,0.02,100,1.0,21.0,534.9517737373737,0.04689562289562289,0.9848080808080808,17.027613412228796,21.0,92.504,99.0,0.0,1.0,0,0.0,1.0
7,static,none,0.02,100,1.0,18.0,531.9930868686869,0.05140965207631874,0.9253737373737374,15.512922465208748,18.0,93.388,99.0,0.0,1.0,0,0.0,1.0
8,static,none,0.02,100,1.0,22.0,530.6872242424243,0.040936639118457296,0.9006060606060605,18.219315895372233,22.0,93.84,99.0,0.0,1.0,0,0.0,1.0
9,static,none,0.02,100,1.0,21.0,532.1553414141415,0.044377104377104376,0.9319191919191919,18.0668016194332,21.0,93.74,99.0,0.0,1.0,0,0.0,1.0
10,static,none,0.02,100,1.0,22.0,535.2096121212122,0.04508539944903581,0.9918787878787879,17.444906444906444,22.0,92.804,99.0,0.0,1.0,0,0.0,1.0
