net,scheme,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
31,rand_st_A,0.2,100,1.0,18.0,559.6852727272728,0.07050280583613917,1.269050505050505,107.54468599033817,213.0,63.364,99.0,0.0,1.0,0,0.0,1.0
32,rand_st_A,0.2,100,1.0,20.0,559.7261858585858,0.06335555555555555,1.2671111111111113,80.64155479863754,214.0,62.556,99.0,0.0,1.0,0,0.0,1.0
33,rand_st_A,0.2,100,1.0,17.0,562.5076848484849,0.07714795008912657,1.3115151515151515,149.4159819227609,303.0,61.16,99.0,0.0,1.0,0,0.0,1.0
34,rand_st_A,0.2,100,1.0,17.0,561.0112484848486,0.07578371954842544,1.2883232323232323,105.31038623173905,214.0,62.456,99.0,0.0,1.0,0,0.0,1.0
35,rand_st_A,0.2,100,1.0,24.0,554.5386707070709,0.0488097643097643,1.1714343434343437,56.49617089883112,122.0,63.028,99.0,0.0,1.0,0,0.0,1.0
36,rand_st_A,0.2,97,0.97,19.0,556.3833041666667,0.06408552631578948,1.2176250000000002,69.35025176233636,210.0,63.108,96.0,0.0,1.0,0,0.0,1.0
37,rand_st_A,0.2,96,0.96,17.0,562.4610021052632,0.07679009287925698,1.3054315789473685,149.09005432511492,209.0,58.984,95.0,0.0,1.0,0,0.0,1.0
38,rand_st_A,0.2,100,1.0,19.0,559.7776000000001,0.06723657628920787,1.2774949494949497,108.26171405686824,206.0,64.528,99.0,0.0,1.0,0,0.0,1.0
39,rand_st_A,0.2,100,1.0,21.0,558.9703474747474,0.05972679172679173,1.2542626262626264,104.24279669554704,212.0,62.828,99.0,0.0,1.0,0,0.0,1.0
40,rand_st_A,0.2,100,1.0,18.0,562.1132000000001,0.07255443322109989,1.3059797979797982,135.5407751312071,304.0,62.708,99.0,0.0,1.0,0,0.0,1.0
41,rand_st_A,0.2,100,1.0,18.0,558.3773535353537,0.06964085297418632,1.2535353535353535,95.29822412737293,209.0,64.9,99.0,0.0,1.0,0,0.0,1.0
42,rand_st_A,0.2,100,1.0,19.0,559.7674787878788,0.06686868686868687,1.2705050505050506,165.932384341637,304.0,64.22,99.0,0.0,1.0,0,0.0,1.0
43,rand_st_A,0.2,96,0.96,20.0,558.8062063157896,0.06277052631578947,1.2554105263157893,131.4329614817933,208.0,61.736,95.0,0.0,1.0,0,0.0,1.0
44,rand_st_A,0.2,100,1.0,20.0,557.8212888888891,0.061977777777777784,1.2395555555555557,99.04518862215049,210.0,64.284,99.0,0.0,1.0,0,0.0,1.0
45,rand_st_A,0.2,100,1.0,18.0,561.8846585858586,0.07253198653198652,1.3055757575757576,134.40768771161123,207.0,62.748,99.0,0.0,1.0,0,0.0,1.0
46,rand_st_A,0.2,99,0.99,19.0,559.6598489795919,0.06706981740064447,1.2743265306122449,97.90012642225031,202.0,63.116,98.0,0.0,1.0,0,0.0,1.0
47,rand_st_A,0.2,100,1.0,19.0,555.9098101010102,0.06283466241360978,1.193858585858586,122.26988000813505,303.0,63.808,99.0,0.0,1.0,0,0.0,1.0
48,rand_st_A,0.2,99,0.99,21.0,556.5790734693878,0.057906705539358595,1.2160408163265306,98.03822055137844,204.0,63.828,98.0,0.0,1.0,0,0.0,1.0
49,rand_st_A,0.2,100,1.0,20.0,556.5095797979799,0.06074545454545455,1.214909090909091,110.53793954349167,213.0,64.724,99.0,0.0,1.0,0,0.0,1.0
0,dbaps,0.2,99,0.99,14.084,538.2806979591837,0.05496305795045291,0.8231836734693877,53.31565094148613,117.0,27.212,57.2,0.5552726314865221,0.6443476266911259,0,0.4087872038874266,1.0
1,dbaps,0.2,100,1.0,13.5,541.5986343434344,0.0596347923681257,0.8750707070707071,54.97111615432226,118.0,27.724,59.78,0.5546479968883703,0.6417044881492688,0,0.4021043944708067,1.0
2,dbaps,0.2,100,1.0,14.4,538.9695676767677,0.05130868923149624,0.8326060606060606,55.51958013726282,119.0,28.288,59.544,0.554842847979474,0.6379986165552225,0,0.40088817117480824,1.0
3,dbaps,0.2,99,0.99,12.944,536.4273673469388,0.05197942986718497,0.7968979591836735,53.80512295081967,118.0,29.02,57.808,0.5562002078281953,0.6457771787960467,0,0.4024590163934426,1.0
4,dbaps,0.2,100,1.0,12.932,538.6898060606062,0.0593303671637005,0.8301414141414141,54.90744101633394,118.0,28.016,58.1,0.5585981227934211,0.6467543670476601,0,0.41742286751361163,1.0
5,dbaps,0.2,97,0.97,14.296,539.3760625,0.05624740047534165,0.8410833333333334,51.529696714406064,117.0,27.816,58.78,0.5540332248672718,0.6380139982502188,0,0.39406065711878685,1.0
6,dbaps,0.2,100,1.0,13.664,539.5632040404042,0.05680307165219446,0.842060606060606,56.038823293976385,119.0,27.48,58.684,0.556857091367814,0.6433439345751931,0,0.4134480688413048,1.0
7,dbaps,0.2,100,1.0,12.5,535.8771191919192,0.05635650623885918,0.7842424242424243,55.70609681993113,117.0,28.168,57.404,0.5561277033985582,0.6422357546759461,0,0.4265748430220782,1.0
8,dbaps,0.2,100,1.0,14.764,535.36437979798,0.04602685440261198,0.7765656565656566,58.00345247766044,121.0,28.488,57.832,0.5545636728001457,0.6404494382022472,0,0.42038992688870835,1.0
9,dbaps,0.2,100,1.0,13.764,535.9472525252527,0.04932443482443483,0.786060606060606,59.1364566284779,121.0,28.724,57.272,0.5550060732257505,0.6417076441662941,0,0.42635024549918166,1.0
10,dbaps,0.2,100,1.0,14.332,539.4667070707071,0.05200208433541766,0.8454545454545455,56.10827250608273,121.0,28.584,58.392,0.556921032965208,0.645634161886552,0,0.4067315490673155,1.0
11,dbaps,0.2,100,1.0,14.36,537.345098989899,0.04965476992143659,0.8103838383838383,55.96975233455136,119.0,28.072,58.016,0.5553967119370979,0.6439182915506035,0,0.4112870483150629,1.0
12,dbaps,0.2,100,1.0,13.192,538.4176080808081,0.05568893614507649,0.8254949494949494,55.47331740342493,119.0,28.236,58.98,0.5561224489795918,0.6384976525821596,0,0.4076065312624452,1.0
13,dbaps,0.2,100,1.0,13.288,538.7257010101011,0.05768985157576958,0.8288080808080809,53.060483052567484,117.0,28.32,59.436,0.5546375947534281,0.6422710135284986,0,0.40633245382585753,1.0
14,dbaps,0.2,100,1.0,12.34,536.5006545454545,0.05484084542908072,0.7985050505050506,54.11181854357342,117.0,29.004,58.028,0.556895961670089,0.6457693993862341,0,0.40947075208913647,1.0
15,dbaps,0.2,100,1.0,12.928,538.0695111111112,0.05541045374378707,0.8179797979797979,54.912107446178155,118.0,28.204,59.084,0.5593991807009558,0.6445182724252492,0,0.4070709065771282,1.0
16,dbaps,0.2,82,0.82,12.824,537.2821481481482,0.05593505204550956,0.812641975308642,55.373286817842015,117.0,23.204,47.032,0.5557007513884351,0.6433978132884777,0,0.42287565412409667,1.0
17,dbaps,0.2,97,0.97,13.848,539.0450541666667,0.05339101138262323,0.8345,52.55298570227082,118.0,27.704,58.34,0.555242654651272,0.6436416890407616,0,0.3938183347350715,1.0
18,dbaps,0.2,100,1.0,14.764,536.777995959596,0.04755015814712785,0.8004040404040405,54.320559610705594,120.0,28.648,58.48,0.5566394234994287,0.6474490963166324,0,0.39943227899432276,1.0
19,dbaps,0.2,100,1.0,13.744,538.4605333333334,0.05437673729778994,0.8266262626262626,53.009766792904124,118.0,28.016,59.064,0.5583574117853077,0.6455557982092159,0,0.40043850906916484,1.0
20,dbaps,0.2,100,1.0,12.82,538.6671515151517,0.05873978675645343,0.8322828282828283,53.278225806451616,116.0,28.632,58.768,0.5533016832110488,0.6398640996602492,0,0.4070564516129032,1.0
21,dbaps,0.2,100,1.0,13.068,541.605187878788,0.0628344094540173,0.8758787878787879,52.571226795803064,117.0,28.0,59.856,0.5579432747520445,0.6478029294274301,0,0.39487489911218726,1.0
22,dbaps,0.2,97,0.97,12.532,537.90975,0.05773049428104575,0.8239166666666666,54.73675321933713,116.0,28.424,56.76,0.5519290389252497,0.6374202370100274,0,0.4127084652733798,1.0
23,dbaps,0.2,97,0.97,13.356,540.9763916666667,0.057879282407407404,0.8675833333333333,53.58314303508408,117.0,27.136,57.712,0.5546926171984654,0.6438592173270982,0,0.39547436163587296,1.0
24,dbaps,0.2,100,1.0,12.1,537.971604040404,0.05896328834564129,0.8222222222222223,55.88984924623116,117.0,28.296,57.848,0.5569791572678877,0.6429703418609917,0,0.42150753768844224,1.0
25,dbaps,0.2,99,0.99,13.484,537.6169265306123,0.05482392290249433,0.8157142857142856,52.16184730601206,117.0,28.848,58.636,0.557896585023264,0.6512961688460656,0,0.39276055752028294,1.0
26,dbaps,0.2,100,1.0,15.544,537.2076484848485,0.047117008468523625,0.8084848484848485,54.54409044193217,119.0,28.456,58.596,0.55358789891164,0.6397306397306397,0,0.41109969167523125,1.0
27,dbaps,0.2,100,1.0,12.532,539.9025737373738,0.06089377434475473,0.8492121212121212,51.75926300870621,117.0,28.672,60.628,0.5563712162407105,0.6392745185848634,0,0.400485928325572,1.0
28,dbaps,0.2,100,1.0,13.016,537.8469616161616,0.05819000462137717,0.8149494949494949,53.783015034538806,117.0,28.132,59.064,0.5535931790499391,0.6367066134043498,0,0.41304347826086957,1.0
29,dbaps,0.2,100,1.0,13.348,539.4552323232324,0.059029384756657484,0.8453737373737374,50.40761636107193,115.0,28.732,60.212,0.55765716374269,0.6465397120297259,0,0.38585532943784,1.0
30,dbaps,0.2,93,0.93,11.768,538.6007956521739,0.05959495798319328,0.8360434782608696,56.029329307742074,117.0,26.452,53.184,0.5575587019611292,0.6494633477963005,0,0.41233556178563724,1.0
31,dbaps,0.2,100,1.0,12.212,537.6649696969697,0.05963419913419914,0.8171313131313132,52.83686227061908,116.0,28.764,58.46,0.5542951160374091,0.6408355795148248,0,0.40048396854204477,1.0
32,dbaps,0.2,100,1.0,14.16,537.9333454545455,0.05125467372134039,0.8183434343434344,54.7785127280016,120.0,28.08,58.66,0.556975049301209,0.644865925441465,0,0.40308679094006816,1.0
33,dbaps,0.2,100,1.0,13.884,539.7394989898991,0.05287819380100082,0.8513131313131312,54.710061601642714,119.0,29.084,59.924,0.555120975077315,0.6423872180451128,0,0.3948665297741273,1.0
34,dbaps,0.2,100,1.0,13.06,539.6022868686869,0.058200884663629764,0.845979797979798,53.662075848303395,117.0,28.124,59.188,0.5559176832107272,0.6409293593053274,0,0.3980039920159681,1.0
35,dbaps,0.2,100,1.0,16.828,534.1500282828283,0.03819306193245587,0.7519595959595959,58.5109135004042,124.0,27.976,57.856,0.555587921157394,0.6449000253100481,0,0.41248989490703314,1.0
36,dbaps,0.2,97,0.97,13.984,535.3652958333334,0.04821074735449736,0.7802916666666667,57.24919549477072,120.0,27.816,55.612,0.5573504342884974,0.6432772257148651,0,0.417135961383749,1.0
37,dbaps,0.2,96,0.96,14.712,541.1007284210527,0.05381859593161532,0.8662736842105263,55.56706423938062,119.0,26.108,56.72,0.5578529232022815,0.6444557477110885,0,0.40510567064239383,1.0
38,dbaps,0.2,100,1.0,12.868,538.1033292929294,0.057576318742985404,0.8241212121212121,55.272581292653555,117.0,28.0,57.544,0.5548398033565011,0.6376010208421948,0,0.4269369731031714,1.0
39,dbaps,0.2,100,1.0,12.292,537.2387030303031,0.056528775146422204,0.8087272727272727,53.98164952611413,117.0,28.436,58.456,0.5562829605382796,0.6455785512699906,0,0.40734018955434564,1.0
40,dbaps,0.2,100,1.0,12.508,539.9151191919192,0.061022512708787224,0.8508686868686869,55.3859649122807,117.0,27.92,58.328,0.5538307003926582,0.6371249127704117,0,0.41278483565234925,1.0
41,dbaps,0.2,100,1.0,12.764,536.903486868687,0.055040484207150873,0.8050505050505051,56.569280780170665,118.0,28.412,57.392,0.5536840286775503,0.6405154872258648,0,0.4207639171068671,1.0
42,dbaps,0.2,100,1.0,13.5,540.4746464646465,0.05995935828877005,0.8629898989898991,52.309976992261035,117.0,29.36,60.148,0.5534743202416919,0.640317100792752,0,0.4001254967580004,1.0
43,dbaps,0.2,96,0.96,13.732,538.8379157894738,0.05708824253616498,0.8343578947368421,53.48339638503573,119.0,27.26,56.512,0.5543416225030575,0.6407602956705385,0,0.40542244640605296,1.0
44,dbaps,0.2,100,1.0,13.24,536.7635353535354,0.05341290684624018,0.8020606060606061,55.57186173438448,119.0,28.948,58.224,0.555527532576713,0.6434310532030402,0,0.4067111380634728,1.0
45,dbaps,0.2,100,1.0,12.068,539.5514343434344,0.06035001273236568,0.8475555555555556,54.47734078658415,117.0,28.46,58.684,0.5560755763563876,0.6450022411474675,0,0.4058694350169695,1.0
46,dbaps,0.2,99,0.99,12.624,537.591448979592,0.05479462261094914,0.8180816326530612,55.602829391891895,118.0,28.716,57.84,0.5560518088432336,0.645760743321719,0,0.41216216216216217,1.0
47,dbaps,0.2,100,1.0,13.5,538.7984040404041,0.05839669421487603,0.828929292929293,51.38937159022024,116.0,28.94,60.752,0.5534281401445936,0.6368817423163037,0,0.3942210547585371,1.0
48,dbaps,0.2,99,0.99,12.212,535.3546938775511,0.05588362487852284,0.7781632653061225,56.06775407779172,118.0,28.232,56.648,0.5546038543897216,0.6425908667287977,0,0.4236721037222919,1.0
49,dbaps,0.2,100,1.0,13.0,536.2437777777778,0.054188156070509017,0.7947070707070707,53.05625128310408,116.0,29.652,58.664,0.5552952580983924,0.6481281107985285,0,0.4001231779921987,1.0
