net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
40,bsps,ack,0.0,100,1.0,9.0,577.3969696969696,0.026094276094276097,0.4696969696969697,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
41,bsps,ack,0.0,100,1.0,9.5,576.7454545454544,0.02392344497607656,0.45454545454545453,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
42,bsps,ack,0.0,100,1.0,8.5,576.9626262626263,0.027035056446821144,0.45959595959595956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
43,bsps,ack,0.0,96,0.96,10.0,576.6631578947369,0.022631578947368426,0.45263157894736844,nan,nan,47.5,47.5,0.5,nan,0,nan,nan
44,bsps,ack,0.0,100,1.0,9.5,576.311111111111,0.02339181286549707,0.4444444444444446,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
45,bsps,ack,0.0,100,1.0,8.5,577.3969696969696,0.027629233511586453,0.4696969696969697,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
46,bsps,ack,0.0,99,0.99,9.5,576.9448979591837,0.024167561761546722,0.4591836734693878,nan,nan,49.0,49.0,0.5,nan,0,nan,nan
47,bsps,ack,0.0,100,1.0,9.5,575.2252525252525,0.022062732589048374,0.4191919191919193,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
48,bsps,ack,0.0,99,0.99,9.0,575.8479591836737,0.02409297052154195,0.4336734693877551,nan,nan,49.0,49.0,0.5,nan,0,nan,nan
49,bsps,ack,0.0,100,1.0,9.0,575.8767676767677,0.02413019079685746,0.4343434343434343,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
0,bsps,ack,0.02,99,0.99,14.428,580.9584775510205,0.041000123635867934,0.5891428571428571,52.4340770791075,115.0,53.36,58.828,0.4951596023024594,0.6688311688311688,0,0.4056795131845842,1.0
1,bsps,ack,0.02,100,1.0,13.784,582.8083474747476,0.046072947640594705,0.6355151515151515,52.03680981595092,115.0,55.404,61.884,0.4939846354544137,0.6504424778761062,0,0.3987730061349693,1.0
2,bsps,ack,0.02,100,1.0,14.792,581.440395959596,0.0409970556214763,0.6047272727272728,49.6804979253112,116.0,55.584,61.928,0.49438354310461496,0.6716101694915254,0,0.37344398340248963,1.0
3,bsps,ack,0.02,99,0.99,13.496,580.6055020408164,0.04305762505801522,0.5810204081632653,50.81528662420382,114.0,54.74,60.116,0.4946513725995618,0.6659751037344398,0,0.4033970276008493,1.0
4,bsps,ack,0.02,100,1.0,13.316,581.3816444444444,0.04533092877611594,0.6008484848484849,49.704819277108435,114.0,53.42,59.48,0.49467072706509324,0.6700819672131147,0,0.3815261044176707,1.0
5,bsps,ack,0.02,97,0.97,14.116,580.9843833333334,0.04205553244073465,0.591875,51.17391304347826,115.0,54.672,60.264,0.49463321689425216,0.6613861386138614,0,0.3995859213250518,1.0
6,bsps,ack,0.02,100,1.0,14.436,581.6168767676768,0.04246635175084373,0.6091717171717171,53.24063116370809,115.0,54.052,60.464,0.49434163227266675,0.6610878661087866,0,0.4161735700197239,1.0
7,bsps,ack,0.02,100,1.0,12.784,580.1513212121212,0.04469643386916114,0.5705858585858586,54.51093439363817,113.0,54.376,59.888,0.4943456162642948,0.6549019607843137,0,0.4393638170974155,1.0
8,bsps,ack,0.02,100,1.0,15.904,579.6083555555556,0.03509476988248919,0.556,47.2635814889336,116.0,55.736,60.752,0.495203998919211,0.6860986547085202,0,0.34808853118712274,1.0
9,bsps,ack,0.02,100,1.0,14.328,580.6285090909091,0.040416361917609694,0.5795555555555555,51.2085020242915,115.0,54.748,60.012,0.4954995499549955,0.6883408071748879,0,0.38866396761133604,1.0
10,bsps,ack,0.02,100,1.0,14.92,582.769701010101,0.04271580916607655,0.6333737373737374,48.44282744282744,116.0,54.696,60.964,0.4950859950859951,0.6808510638297872,0,0.3596673596673597,1.0
11,bsps,ack,0.02,100,1.0,15.148,580.6382464646465,0.038208495618970335,0.5796363636363636,50.571739130434786,116.0,55.2,60.344,0.49519198885867766,0.66270783847981,0,0.3804347826086957,1.0
12,bsps,ack,0.02,100,1.0,13.116,580.6282060606061,0.0443036906019972,0.578989898989899,49.190582959641254,113.0,55.096,60.212,0.4955444605953359,0.6885245901639344,0,0.38565022421524664,1.0
13,bsps,ack,0.02,100,1.0,14.196,581.4054303030305,0.0425419112477936,0.6037575757575757,48.675196850393704,114.0,55.856,62.096,0.49515301273522144,0.6809421841541756,0,0.3720472440944882,1.0
14,bsps,ack,0.02,100,1.0,13.424,581.1743313131313,0.04438788215151851,0.5954747474747475,50.53861003861004,114.0,55.704,61.34,0.49417901902156625,0.6666666666666666,0,0.39768339768339767,1.0
15,bsps,ack,0.02,100,1.0,13.124,580.8814787878788,0.04498081077171986,0.5895757575757575,49.037109375,114.0,55.82,61.62,0.4941066790970234,0.6645962732919255,0,0.3828125,1.0
16,bsps,ack,0.02,82,0.82,13.768,581.0880740740741,0.04306492252603364,0.5925432098765432,52.49604221635884,114.0,44.176,48.764,0.4949967721110394,0.6620111731843575,0,0.41424802110817943,1.0
17,bsps,ack,0.02,97,0.97,15.136,581.1508500000001,0.039253691404305756,0.59375,47.67307692307692,115.0,55.296,60.592,0.4952919020715631,0.6682808716707022,0,0.358974358974359,1.0
18,bsps,ack,0.02,100,1.0,14.664,580.7063717171717,0.039843047224776273,0.5833939393939394,50.80204081632653,115.0,55.78,61.272,0.49447170428524695,0.6516129032258065,0,0.39591836734693875,1.0
19,bsps,ack,0.02,100,1.0,14.592,581.0075555555557,0.04047375772375772,0.5907474747474748,48.81428571428572,114.0,55.924,61.404,0.49498263218834426,0.6784140969162996,0,0.37142857142857144,1.0
20,bsps,ack,0.02,100,1.0,13.168,581.8094909090909,0.04684111006838279,0.6157979797979799,51.169946332737034,114.0,54.116,60.848,0.49385908209437623,0.6584905660377358,0,0.40250447227191416,1.0
