net,scheme,p,frame_len,latency,latency_p95,service
38,rand_dt,0.2,15.892,25.984305835010062,52.0,1.0
39,rand_dt,0.2,15.28,23.516195161951618,46.0,1.0
40,rand_dt,0.2,16.02,30.481717011128776,57.0,1.0
41,rand_dt,0.2,15.624,25.775485188968336,49.0,1.0
42,rand_dt,0.2,15.816,27.876180698151952,54.0,1.0
43,rand_dt,0.2,17.708,31.952871870397644,62.0,1.0
44,rand_dt,0.2,16.764,25.104213311622228,49.0,1.0
45,rand_dt,0.2,15.184,26.93468054705042,53.0,1.0
46,rand_dt,0.2,16.096,25.94524312896406,53.0,1.0
47,rand_dt,0.2,17.28,28.36866452131939,57.0,1.0
48,rand_dt,0.2,16.452,24.227133210558623,47.0,1.0
49,rand_dt,0.2,16.384,25.629676071055382,49.0,1.0
0,static,0.2,19.0,15.072281838428832,19.0,1.0
1,static,0.2,18.0,16.36063544460491,18.0,1.0
2,static,0.2,20.0,17.008074283407346,20.0,1.0
3,static,0.2,18.0,14.55922131147541,18.0,1.0
4,static,0.2,19.0,16.00161322847348,19.0,1.0
5,static,0.2,19.0,14.351305812973884,19.0,1.0
6,static,0.2,21.0,17.35621372823694,21.0,1.0
7,static,0.2,18.0,15.331375329147255,18.0,1.0
8,static,0.2,22.0,18.1963850528026,22.0,1.0
9,static,0.2,21.0,17.87131751227496,21.0,1.0
10,static,0.2,22.0,17.199310624493105,22.0,1.0
11,static,0.2,22.0,17.83272431993504,22.0,1.0
12,static,0.2,19.0,16.170450019912387,19.0,1.0
13,static,0.2,18.0,14.576212705500305,18.0,1.0
14,static,0.2,18.0,15.27616394747314,18.0,1.0
15,static,0.2,18.0,15.58107841200869,18.0,1.0
16,static,0.2,20.0,16.585846000498382,20.0,1.0
17,static,0.2,20.0,14.77291841883936,20.0,1.0
18,static,0.2,20.0,15.855231143552311,20.0,1.0
19,static,0.2,19.0,16.0,19.0,1.0
20,static,0.2,18.0,15.435685483870968,18.0,1.0
21,static,0.2,18.0,15.315980629539952,18.0,1.0
22,static,0.2,17.0,14.83006122018155,17.0,1.0
23,static,0.2,19.0,17.486194727008513,19.0,1.0
24,static,0.2,18.0,15.995577889447237,18.0,1.0
25,static,0.2,18.0,14.2731433326399,18.0,1.0
26,static,0.2,20.0,16.042548818088388,20.0,1.0
27,static,0.2,19.0,14.189714517108726,19.0,1.0
28,static,0.2,18.0,14.970337261275905,18.0,1.0
29,static,0.2,18.0,14.942373564376386,18.0,1.0
30,static,0.2,19.0,17.37028251024369,19.0,1.0
31,static,0.2,17.0,15.208308126638435,17.0,1.0
32,static,0.2,20.0,16.649629184205253,20.0,1.0
33,static,0.2,19.0,16.473921971252565,19.0,1.0
34,static,0.2,18.0,15.792614770459082,18.0,1.0
35,static,0.2,24.0,18.973928860145513,24.0,1.0
36,static,0.2,21.0,17.818181818181817,21.0,1.0
37,static,0.2,21.0,17.45323289391086,21.0,1.0
38,static,0.2,17.0,14.717583299879566,17.0,1.0
39,static,0.2,19.0,15.859245815688647,19.0,1.0
40,static,0.2,18.0,15.923371647509578,18.0,1.0
41,static,0.2,19.0,16.639983746444535,19.0,1.0
42,static,0.2,17.0,15.149759464547166,17.0,1.0
43,static,0.2,20.0,15.075872215216478,20.0,1.0
44,static,0.2,19.0,16.32666262381241,19.0,1.0
45,static,0.2,17.0,15.138151327610302,17.0,1.0
46,static,0.2,19.0,16.416173986486488,19.0,1.0
47,static,0.2,19.0,15.977571226510406,19.0,1.0
48,static,0.2,18.0,15.048306148055207,18.0,1.0
49,static,0.2,18.0,15.118661465818107,18.0,1.0
0,bsps,0.2,15.704,17.631706823243572,31.0,0.6897374701670644
1,bsps,0.2,15.008,17.763565091809365,31.0,0.6915091828586638
2,bsps,0.2,15.94,17.766249495357286,32.0,0.7006400787789266
3,bsps,0.2,14.308,15.628073770491802,28.0,0.6897448015122873
4,bsps,0.2,14.584,16.99737850373059,30.0,0.6881548974943053
5,bsps,0.2,15.268,16.480202190395957,30.0,0.6929518492672715
6,bsps,0.2,15.296,17.51130678407044,31.0,0.6939218523878437
7,bsps,0.2,13.868,15.77739517925866,28.0,0.6864580954555835
8,bsps,0.2,17.064,18.642363931762794,34.0,0.6928071928071928
9,bsps,0.2,15.768,18.166734860883796,32.0,0.6848441926345609
10,bsps,0.2,16.04,17.749797242497973,33.0,0.7009682503940554
11,bsps,0.2,16.748,18.843686561104345,33.0,0.6904586705911209
12,bsps,0.2,14.2,15.852449223416965,28.0,0.6913608388420333
13,bsps,0.2,15.04,16.5061903795413,30.0,0.6932084309133489
14,bsps,0.2,14.18,15.785714285714286,28.0,0.6928718771487509
15,bsps,0.2,14.164,15.882283231285799,28.0,0.6941917424772568
16,bsps,0.2,14.8,16.651632195365064,30.0,0.6983938132064248
17,bsps,0.2,15.912,17.12237174095879,31.0,0.6921891058581706
18,bsps,0.2,15.988,17.038726682887265,31.0,0.6936221419975933
19,bsps,0.2,15.836,17.293402431732112,31.0,0.6995337995337996
20,bsps,0.2,14.064,15.649798387096775,28.0,0.6999278672757875
21,bsps,0.2,14.536,17.226594027441486,30.0,0.6865984178687762
22,bsps,0.2,14.144,16.325522482583914,28.0,0.6872437906920665
23,bsps,0.2,15.648,18.41457338592485,31.0,0.6820868671292727
24,bsps,0.2,14.488,16.87497487437186,29.0,0.6890817064352857
25,bsps,0.2,15.184,16.513625962138548,30.0,0.6903334132885585
26,bsps,0.2,16.54,17.73463514902364,32.0,0.6977811782708493
27,bsps,0.2,14.364,15.481676452723223,29.0,0.687603305785124
28,bsps,0.2,14.492,16.084315318976024,29.0,0.690144173954148
29,bsps,0.2,15.14,16.568204714890186,30.0,0.6882166382044401
30,bsps,0.2,13.784,16.81647616993746,28.0,0.6971360381861575
31,bsps,0.2,13.644,15.712038717483363,27.0,0.6983187307601232
