net,n,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
34,25,rand_st,0.2,1.0,25,9,3,12,11.0,540.7597166666668,0.08504545454545456,0.9355,48.87448046550291,103.0,16.548,24.0,0.0,1.0,0,0.0,1.0
35,25,rand_st,0.2,1.0,25,13,3,14,13.0,530.9122333333333,0.057282051282051286,0.7446666666666666,18.245267489711935,103.0,17.128,24.0,0.0,1.0,0,0.0,1.0
36,25,rand_st,0.2,1.0,25,10,3,13,11.0,535.9210833333334,0.07807575757575758,0.8588333333333332,37.898866608544026,104.0,17.388,24.0,0.0,1.0,0,0.0,1.0
37,25,rand_st,0.2,0.84,21,8,2,9,9.0,542.7437000000001,0.11042222222222221,0.9938,29.773674242424242,103.0,14.124,20.0,0.0,1.0,0,0.0,1.0
38,25,rand_st,0.2,0.84,21,6,2,10,9.0,543.4648800000001,0.1115111111111111,1.0036,11.60681399631676,9.0,13.928,20.0,0.0,1.0,0,0.0,1.0
39,25,rand_st,0.2,1.0,25,7,3,10,9.0,543.2483333333333,0.11118518518518518,1.0006666666666668,27.029035012809565,107.0,16.984,24.0,0.0,1.0,0,0.0,1.0
0,25,rand_dt,0.2,1.0,25,7,3,11,9.38,548.1173333333335,0.11698316498316498,1.0943333333333334,52.43202668890742,109.0,16.736,24.0,0.0,1.0,0,0.0,1.0
1,25,rand_dt,0.2,1.0,25,7,3,11,9.024,546.9213000000001,0.11985740740740741,1.0813333333333335,45.499189627228525,108.0,17.048,24.0,0.0,1.0,0,0.0,1.0
2,25,rand_dt,0.2,1.0,25,8,3,11,10.42,539.5869666666667,0.09016818181818183,0.9373333333333334,37.333888426311404,109.0,17.504,24.0,0.0,1.0,0,0.0,1.0
3,25,rand_dt,0.2,1.0,25,8,3,13,10.4,541.7442000000001,0.09315042087542087,0.966,37.74311926605505,110.0,16.816,24.0,0.0,1.0,0,0.0,1.0
4,25,rand_dt,0.2,1.0,25,8,2,12,12.0,538.8059666666667,0.0775,0.93,35.497373029772326,109.0,17.68,24.0,0.0,1.0,0,0.0,1.0
5,25,rand_dt,0.2,1.0,25,8,3,14,13.004,540.8872166666667,0.07340293040293039,0.9545,37.97044728434505,110.0,17.092,24.0,0.0,1.0,0,0.0,1.0
6,25,rand_dt,0.2,0.96,24,10,3,13,13.012,534.628,0.06408695652173912,0.8337391304347825,31.048275862068966,111.0,16.824,23.0,0.0,1.0,0,0.0,1.0
7,25,rand_dt,0.2,1.0,25,11,3,14,12.052,533.4304000000001,0.06731616994116993,0.8096666666666668,27.082096069868996,110.0,17.568,24.0,0.0,1.0,0,0.0,1.0
8,25,rand_dt,0.2,1.0,25,9,3,14,14.0,537.7594166666668,0.0641547619047619,0.8981666666666668,33.61106523534269,112.0,17.444,24.0,0.0,1.0,0,0.0,1.0
9,25,rand_dt,0.2,1.0,25,11,3,14,14.0,534.4731666666668,0.058761904761904765,0.8226666666666668,31.590625,111.0,17.256,24.0,0.0,1.0,0,0.0,1.0
10,25,rand_dt,0.2,1.0,25,11,3,13,11.196,534.0303166666667,0.07330050505050505,0.8195,22.703612479474547,109.0,17.332,24.0,0.0,1.0,0,0.0,1.0
11,25,rand_dt,0.2,1.0,25,7,4,10,8.44,550.8147833333334,0.13574722222222224,1.1418333333333335,59.515966386554624,203.0,16.596,24.0,0.0,1.0,0,0.0,1.0
