net,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
39,csma,0.02,1.0,100,11,6,19,19.0,1326.3706424242423,1.0,19.0,4.3076923076923075,9.0,nan,nan,nan,nan,0,0.0,0.993963782696177
40,csma,0.02,1.0,100,11,7,18,18.0,1283.658383838384,1.0,18.0,4.9070247933884295,10.0,nan,nan,nan,nan,0,0.0,0.9877551020408163
41,csma,0.02,1.0,100,10,5,19,19.0,1328.4567474747473,1.0,19.0,4.906614785992218,10.349999999999966,nan,nan,nan,nan,0,0.0,0.9903660886319846
42,csma,0.02,1.0,100,8,6,17,17.0,1238.9469494949496,1.0,17.0,4.834080717488789,10.0,nan,nan,nan,nan,0,0.0,0.9977628635346756
43,csma,0.02,0.96,96,9,6,20,20.0,1369.7937894736842,1.0,20.0,5.202586206896552,11.0,nan,nan,nan,nan,0,0.0,0.9935760171306209
44,csma,0.02,1.0,100,11,5,19,19.0,1324.7957818181817,1.0,19.0,4.174273858921162,9.0,nan,nan,nan,nan,0,0.0,0.9877049180327869
45,csma,0.02,1.0,100,10,6,17,17.0,1240.7390424242424,1.0,17.0,4.795546558704453,10.0,nan,nan,nan,nan,0,0.0,0.997979797979798
46,csma,0.02,0.99,99,10,6,19,19.0,1324.2530285714288,1.0,19.0,4.348519362186789,9.0,nan,nan,nan,nan,0,0.0,0.9954648526077098
47,csma,0.02,1.0,100,16,5,19,19.0,1325.8831111111112,1.0,19.0,4.620545073375262,11.0,nan,nan,nan,nan,0,0.0,0.997907949790795
48,csma,0.02,0.99,99,13,6,18,18.0,1282.7620571428572,1.0,18.0,4.387550200803213,10.0,nan,nan,nan,nan,0,0.0,0.9880952380952381
49,csma,0.02,1.0,100,13,5,18,18.0,1284.493098989899,1.0,18.0,4.629032258064516,10.0,nan,nan,nan,nan,0,0.0,0.9939879759519038
0,csma,0.05,0.99,99,9,7,19,19.0,1363.0938816326532,1.0,19.0,7.561632653061224,16.0,nan,nan,nan,nan,0,0.0,0.9745425616547335
1,csma,0.05,1.0,100,8,7,18,18.0,1319.3579353535354,1.0,18.0,8.742174629324547,15.349999999999909,nan,nan,nan,nan,0,0.0,0.982200647249191
2,csma,0.05,1.0,100,11,8,20,20.0,1410.0132484848486,1.0,20.0,6.890776699029126,15.0,nan,nan,nan,nan,0,0.0,0.9848605577689243
3,csma,0.05,0.99,99,11,6,18,18.0,1312.86906122449,1.0,18.0,7.235738255033557,14.0,nan,nan,nan,nan,0,0.0,0.9875724937862469
4,csma,0.05,1.0,100,9,8,19,19.0,1366.911309090909,1.0,19.0,7.2912,15.0,nan,nan,nan,nan,0,0.0,0.9720062208398134
5,csma,0.05,0.97,97,12,6,19,19.0,1358.756225,1.0,19.0,7.0790349417637275,14.0,nan,nan,nan,nan,0,0.0,0.9860541427399507
6,csma,0.05,1.0,100,9,6,21,21.0,1443.1094787878787,1.0,21.0,6.676445211389129,15.0,nan,nan,nan,nan,0,0.0,0.9889078498293515
7,csma,0.05,1.0,100,13,7,18,18.0,1315.333373737374,1.0,18.0,7.626043405676127,15.0,nan,nan,nan,nan,0,0.0,0.9803600654664485
8,csma,0.05,1.0,100,15,6,22,22.0,1492.4130707070708,1.0,22.0,6.789692435577722,15.0,nan,nan,nan,nan,0,0.0,0.9748784440842788
9,csma,0.05,1.0,100,13,5,21,21.0,1449.2987393939395,1.0,21.0,6.568643379366369,15.0,nan,nan,nan,nan,0,0.0,0.9855884707766213
10,csma,0.05,1.0,100,9,6,22,22.0,1493.965983838384,1.0,22.0,7.447087776866284,16.0,nan,nan,nan,nan,0,0.0,0.9759807846277022
11,csma,0.05,1.0,100,12,6,22,22.0,1489.425709090909,1.0,22.0,6.83061049011178,15.899999999999864,nan,nan,nan,nan,0,0.0,0.9781328847771237
