net,burst,scheme,p,reachable,nodes,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
34,10,static,0.2,1.0,100,18,18.0,561.7054666666667,0.072006734006734,1.296121212121212,15.724014336917563,18.0,61.684,99.0,0.0,1.0,0,0.0,1.0
35,10,static,0.2,1.0,100,24,24.0,557.5662222222222,0.05028282828282828,1.206787878787879,18.746550048590866,24.0,59.528,99.0,0.0,1.0,0,0.0,1.0
36,10,static,0.2,0.97,97,21,21.0,556.5590708333333,0.0581686507936508,1.2215416666666667,17.519589743589744,21.0,62.732,96.0,0.0,1.0,0,0.0,1.0
37,10,static,0.2,0.96,96,21,21.0,561.2020294736842,0.061417543859649114,1.2897684210526315,17.71697247706422,21.0,60.472,95.0,0.0,1.0,0,0.0,1.0
38,10,static,0.2,1.0,100,17,17.0,559.0399797979799,0.07466904337492573,1.2693737373737375,14.70642927794263,17.0,65.332,99.0,0.0,1.0,0,0.0,1.0
39,10,static,0.2,1.0,100,19,19.0,558.4482020202021,0.06570122275385434,1.2483232323232323,15.837344564781388,19.0,63.416,99.0,0.0,1.0,0,0.0,1.0
40,10,static,0.2,1.0,100,18,18.0,560.0602181818183,0.07125925925925926,1.2826666666666666,15.957997454391176,18.0,65.016,99.0,0.0,1.0,0,0.0,1.0
41,10,static,0.2,1.0,100,19,19.0,557.6568121212122,0.06548644338118022,1.2442424242424241,16.855848079413033,19.0,65.82,99.0,0.0,1.0,0,0.0,1.0
42,10,static,0.2,1.0,100,17,17.0,561.4188040404041,0.07583600713012478,1.289212121212121,15.236751810903545,17.0,62.368,99.0,0.0,1.0,0,0.0,1.0
43,10,static,0.2,0.96,96,20,20.0,558.4282736842106,0.0625957894736842,1.251915789473684,14.619371282922685,20.0,62.068,95.0,0.0,1.0,0,0.0,1.0
44,10,static,0.2,1.0,100,19,19.0,558.1835717171717,0.06539925571504521,1.2425858585858587,16.45753368721927,19.0,63.984,99.0,0.0,1.0,0,0.0,1.0
45,10,static,0.2,1.0,100,17,17.0,560.8617414141415,0.07616636957813429,1.2948282828282827,14.913542306904322,17.0,63.812,99.0,0.0,1.0,0,0.0,1.0
46,10,static,0.2,0.99,99,19,19.0,561.9063795918369,0.0684360902255639,1.3002857142857143,16.596743657705414,19.0,60.572,98.0,0.0,1.0,0,0.0,1.0
47,10,static,0.2,1.0,100,19,19.0,554.5129898989899,0.06193939393939394,1.176848484848485,16.14258514914322,19.0,65.492,99.0,0.0,1.0,0,0.0,1.0
