net,sigma,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
35,20,ewma,0.2,1.0,100,20,4,31,21.784,532.6513292929293,0.034575228517545006,0.7506666666666666,54.34080984517666,122.0,35.204,62.06,0.4924328954882924,0.6720717283479588,0,0.36423183803096465,1.0
36,20,ewma,0.2,1.0,100,19,4,31,21.848,533.4506626262628,0.03515153370600508,0.7651717171717171,54.05252274607113,122.0,35.328,62.78,0.49224061483890036,0.6708937198067633,0,0.369520264681555,1.0
37,20,ewma,0.2,1.0,100,22,3,32,22.616,531.548488888889,0.03250028011202872,0.7323232323232324,54.29262295081967,122.0,35.396,62.144,0.4938066569787558,0.6767314587658049,0,0.3655737704918033,1.0
38,20,ewma,0.2,1.0,100,28,4,36,22.824,528.7374424242425,0.030052338775655316,0.6814949494949494,57.295957749339834,124.0,35.644,60.752,0.4923118607329134,0.6724986331328595,0,0.3849278894982734,1.0
39,20,ewma,0.2,1.0,100,29,4,38,24.264,530.0060323232324,0.028990057302320484,0.7005656565656566,55.94957145704604,124.0,35.728,62.356,0.4893538642893981,0.6696928723198764,0,0.37333067570261114,1.0
0,20,oracle,0.2,1.0,100,20,4,30,12.6,523.7417696969698,0.04088158386803663,0.5132929292929294,9.739052902714484,14.0,0.0,29.76,1.0,1.0,0,0.0,1.0
1,20,oracle,0.2,1.0,100,24,4,33,12.488,521.7631030303031,0.038978432767296636,0.4835959595959596,8.77500495147554,14.0,0.0,29.088,1.0,1.0,0,0.0,1.0
2,20,oracle,0.2,1.0,100,19,4,30,12.08,523.188092929293,0.04188520203306299,0.505010101010101,8.781705612143,14.0,0.0,29.644,1.0,1.0,0,0.0,1.0
3,20,oracle,0.2,1.0,100,24,4,33,12.932,522.5317333333334,0.03858442558299956,0.4952323232323232,9.089845299484331,14.0,0.0,29.616,1.0,1.0,0,0.0,1.0
4,20,oracle,0.2,1.0,100,18,4,28,11.848,523.5459232323233,0.04310987070630564,0.5102222222222221,9.263490124210955,14.0,0.0,29.344,1.0,1.0,0,0.0,1.0
5,20,oracle,0.2,1.0,100,20,4,31,12.548,522.4004444444445,0.03937851435551971,0.49313131313131314,8.950202429149797,14.0,0.0,29.224,1.0,1.0,0,0.0,1.0
6,20,oracle,0.2,1.0,100,14,4,26,12.128,525.4669696969698,0.04437022937780513,0.5393939393939395,9.064223877592108,13.0,0.0,30.9,1.0,1.0,0,0.0,1.0
7,20,oracle,0.2,1.0,100,22,4,28,11.748,522.6394666666667,0.042310117043450376,0.49672727272727263,8.120757045875335,13.0,0.0,29.328,1.0,1.0,0,0.0,1.0
8,20,oracle,0.2,1.0,100,18,4,29,12.428,521.1612323232323,0.03817981043845572,0.4743434343434343,8.751934826883911,13.0,0.0,28.3,1.0,1.0,0,0.0,1.0
9,20,oracle,0.2,1.0,100,22,4,31,12.764,522.8646868686869,0.039285853335942464,0.5002020202020203,9.230646766169155,15.0,0.0,29.656,1.0,1.0,0,0.0,1.0
10,20,oracle,0.2,1.0,100,23,3,34,12.628,521.0189333333335,0.037510789945652497,0.47224242424242424,9.223100303951368,14.0,0.0,28.344,1.0,1.0,0,0.0,1.0
11,20,oracle,0.2,1.0,100,15,4,28,10.944,523.5604444444444,0.04682936193996799,0.5103030303030303,8.521960146400977,13.0,0.0,28.984,1.0,1.0,0,0.0,1.0
12,20,oracle,0.2,1.0,100,15,3,29,12.54,523.7759797979799,0.04101179775529151,0.5137373737373738,9.186543110394842,14.0,0.0,29.588,1.0,1.0,0,0.0,1.0
13,20,oracle,0.2,1.0,100,23,4,32,12.716,520.7770303030303,0.03688732752464341,0.4684848484848485,9.238304093567251,14.0,0.0,27.924,1.0,1.0,0,0.0,1.0
14,20,oracle,0.2,1.0,100,17,4,28,10.396,523.4992323232324,0.04910220408099196,0.5092929292929294,8.101864573110893,12.0,0.0,28.72,1.0,1.0,0,0.0,1.0
15,20,oracle,0.2,1.0,100,27,3,35,12.632,521.3633050505051,0.037892514928789436,0.47753535353535354,8.675035147620004,14.0,0.0,28.792,1.0,1.0,0,0.0,1.0
