net,sigma,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,6,rand_st_A,0.2,0.96,96,8,7,15,15.0,566.001797894737,0.08959157894736842,1.3438736842105263,158.85065339141258,305.0,55.332,95.0,0.0,1.0,0,0.0,1.0
1,6,rand_st_A,0.2,0.85,85,7,10,15,13.0,566.8565238095238,0.10507692307692307,1.366,170.90638099673964,403.0,49.256,84.0,0.0,1.0,0,0.0,1.0
2,6,rand_st_A,0.2,0.96,96,7,14,18,12.0,571.1832463157896,0.11739298245614035,1.4087157894736841,250.95158944525244,503.0,50.172,95.0,0.0,1.0,0,0.0,1.0
3,6,rand_st_A,0.2,0.92,92,8,9,17,14.0,569.7285846153846,0.10055572998430143,1.4077802197802198,196.7782844733985,307.0,51.892,91.0,0.0,1.0,0,0.0,1.0
4,6,rand_st_A,0.2,1.0,100,8,10,16,13.0,566.1281898989898,0.10326961926961926,1.3425050505050504,162.31555374592833,305.0,57.092,99.0,0.0,1.0,0,0.0,1.0
5,6,rand_st_A,0.2,0.99,99,7,11,17,12.0,567.2013795918368,0.11320408163265307,1.3584489795918366,211.41200489995916,403.0,55.872,98.0,0.0,1.0,0,0.0,1.0
6,6,rand_st_A,0.2,0.97,97,7,10,16,12.0,568.3972625000001,0.11561458333333333,1.387375,203.04547350855236,401.0,54.812,96.0,0.0,1.0,0,0.0,1.0
7,6,rand_st_A,0.2,0.66,66,8,9,15,13.0,562.1285046153846,0.09871715976331362,1.2833230769230768,115.33143939393939,403.0,38.584,65.0,0.0,1.0,0,0.0,1.0
8,6,rand_st_A,0.2,1.0,100,6,15,18,12.0,570.4014747474749,0.11705387205387205,1.4046464646464647,179.12510187449064,411.0,53.94,99.0,0.0,1.0,0,0.0,1.0
9,6,rand_st_A,0.2,0.91,91,9,10,17,14.0,564.8836,0.09507301587301586,1.3310222222222223,244.41092016532522,403.0,53.208,90.0,0.0,1.0,0,0.0,1.0
10,6,rand_st_A,0.2,0.75,75,8,9,14,12.0,564.0096756756758,0.10995495495495496,1.3194594594594595,175.58583400919167,307.0,44.36,74.0,0.0,1.0,0,0.0,1.0
11,6,rand_st_A,0.2,0.87,87,10,17,22,15.0,563.1692325581396,0.08610542635658915,1.2915813953488373,248.2820032763866,606.0,50.924,86.0,0.0,1.0,0,0.0,1.0
12,6,rand_st_A,0.2,0.98,98,6,9,15,11.0,568.4427298969073,0.12533833177132148,1.378721649484536,169.14581624282198,308.0,54.264,97.0,0.0,1.0,0,0.0,1.0
13,6,rand_st_A,0.2,0.65,65,9,6,14,14.0,559.1519750000001,0.0887142857142857,1.242,71.85906040268456,211.0,39.512,64.0,0.0,1.0,0,0.0,1.0
14,6,rand_st_A,0.2,0.89,89,8,10,16,13.0,569.2273681818182,0.10744405594405594,1.3967727272727273,259.70372836218377,504.0,50.084,88.0,0.0,1.0,0,0.0,1.0
15,6,rand_st_A,0.2,1.0,100,8,12,16,12.0,567.6318303030305,0.1134141414141414,1.360969696969697,216.61333065649467,502.0,55.264,99.0,0.0,1.0,0,0.0,1.0
16,6,rand_st_A,0.2,0.74,74,8,7,13,12.0,561.9641150684931,0.10745662100456621,1.2894794520547945,104.62472466960352,211.0,43.868,73.0,0.0,1.0,0,0.0,1.0
17,6,rand_st_A,0.2,0.94,94,7,10,15,12.0,567.7991354838709,0.11465591397849463,1.3758709677419356,168.46647677475897,403.0,53.044,93.0,0.0,1.0,0,0.0,1.0
18,6,rand_st_A,0.2,0.71,71,6,6,14,14.0,562.9174457142858,0.0934408163265306,1.3081714285714285,130.7251712328767,308.0,42.428,70.0,0.0,1.0,0,0.0,1.0
19,6,rand_st_A,0.2,0.79,79,8,9,13,11.0,564.9807282051282,0.12038228438228438,1.3242051282051281,134.88456680980045,310.0,44.712,78.0,0.0,1.0,0,0.0,1.0
20,6,rand_st_A,0.2,0.72,72,9,10,15,14.0,564.1334929577465,0.09459557344064386,1.324338028169014,234.67030201342283,502.0,42.972,71.0,0.0,1.0,0,0.0,1.0
21,6,rand_st_A,0.2,0.99,99,6,9,15,11.0,568.2358489795919,0.12518367346938775,1.3770204081632653,177.7677562550444,307.0,55.052,98.0,0.0,1.0,0,0.0,1.0
22,6,rand_st_A,0.2,0.6,60,7,8,15,15.0,563.6662711864407,0.08712768361581921,1.3069152542372882,123.95939952234733,301.0,34.892,59.0,0.0,1.0,0,0.0,1.0
23,6,rand_st_A,0.2,1.0,100,7,16,21,12.0,570.2542747474748,0.1172828282828283,1.4073939393939394,387.55512533115956,703.0,55.668,99.0,0.0,1.0,0,0.0,1.0
24,6,rand_st_A,0.2,0.89,89,10,7,16,16.0,560.4433409090909,0.07903693181818182,1.264590909090909,98.02178352620831,212.0,54.716,88.0,0.0,1.0,0,0.0,1.0
25,6,rand_st_A,0.2,1.0,100,7,9,16,13.0,569.3531595959596,0.10738461538461538,1.396,184.08376545672118,310.0,54.796,99.0,0.0,1.0,0,0.0,1.0
26,6,rand_st_A,0.2,0.99,99,6,12,18,13.0,568.2183632653063,0.10560439560439559,1.3728571428571432,251.91859296482411,408.0,55.46,98.0,0.0,1.0,0,0.0,1.0
27,6,rand_st_A,0.2,0.94,94,7,11,18,12.0,567.3639956989248,0.11305734767025089,1.3566881720430108,293.78883701188454,607.0,52.828,93.0,0.0,1.0,0,0.0,1.0
28,6,rand_st_A,0.2,0.97,97,7,17,21,11.0,569.8591041666667,0.1277386363636364,1.405125,224.54621149042464,503.0,54.108,96.0,0.0,1.0,0,0.0,1.0
29,6,rand_st_A,0.2,0.98,98,9,9,15,13.0,565.3401278350514,0.10251229183187946,1.332659793814433,134.37310924369748,310.0,56.732,97.0,0.0,1.0,0,0.0,1.0
30,6,rand_st_A,0.2,0.91,91,8,9,15,12.0,566.1894444444445,0.11178148148148148,1.3413777777777778,178.19435325016414,309.0,51.276,90.0,0.0,1.0,0,0.0,1.0
31,6,rand_st_A,0.2,0.66,66,6,8,14,12.0,568.4166215384616,0.11470256410256412,1.3764307692307693,208.09193245778613,303.0,36.532,65.0,0.0,1.0,0,0.0,1.0
32,6,rand_st_A,0.2,0.73,73,8,8,13,12.0,564.3433722222222,0.10945833333333331,1.3135,158.07896947633716,406.0,41.428,72.0,0.0,1.0,0,0.0,1.0
33,6,rand_st_A,0.2,0.97,97,9,7,15,14.0,567.0170041666667,0.09786607142857141,1.370125,183.78003696857672,404.0,56.468,96.0,0.0,1.0,0,0.0,1.0
34,6,rand_st_A,0.2,0.98,98,8,9,16,12.0,565.8848742268041,0.11165635738831617,1.3398762886597937,215.4614765640716,402.0,56.032,97.0,0.0,1.0,0,0.0,1.0
35,6,rand_st_A,0.2,0.95,95,7,8,15,10.0,570.6684170212767,0.14159148936170216,1.4159148936170214,150.0252100840336,303.0,51.904,94.0,0.0,1.0,0,0.0,1.0
36,6,rand_st_A,0.2,0.81,81,6,9,14,11.0,565.6982650000001,0.1223590909090909,1.34595,163.10220286885246,401.0,46.324,80.0,0.0,1.0,0,0.0,1.0
37,6,rand_st_A,0.2,0.87,87,11,10,15,14.0,563.5612093023257,0.09261129568106313,1.2965581395348837,132.86862698600902,309.0,49.496,86.0,0.0,1.0,0,0.0,1.0
38,6,rand_st_A,0.2,0.81,81,6,9,16,15.0,564.983425,0.08887,1.3330500000000003,135.46130577262414,306.0,47.356,80.0,0.0,1.0,0,0.0,1.0
39,6,rand_st_A,0.2,0.95,95,8,11,15,14.0,564.8864978723404,0.0948662613981763,1.328127659574468,179.02658227848102,405.0,55.156,94.0,0.0,1.0,0,0.0,1.0
0,6,rand_st,0.2,0.96,96,8,7,15,14.0,565.9531368421053,0.09595187969924814,1.3433263157894737,153.19954366314042,404.0,55.384,95.0,0.0,1.0,0,0.0,1.0
1,6,rand_st,0.2,0.85,85,7,10,15,12.0,567.0085476190477,0.11398015873015875,1.3677619047619045,158.395668374476,310.0,49.108,84.0,0.0,1.0,0,0.0,1.0
2,6,rand_st,0.2,0.96,96,7,14,18,12.0,571.1121263157896,0.1173263157894737,1.407915789473684,249.9599002701018,503.0,50.248,95.0,0.0,1.0,0,0.0,1.0
3,6,rand_st,0.2,0.92,92,8,9,17,12.0,569.877076923077,0.11745421245421246,1.4094505494505496,193.2256243213898,308.0,51.74,91.0,0.0,1.0,0,0.0,1.0
4,6,rand_st,0.2,1.0,100,8,10,16,12.0,566.1389656565657,0.11188552188552188,1.3426262626262626,185.53135179153094,401.0,57.08,99.0,0.0,1.0,0,0.0,1.0
5,6,rand_st,0.2,0.99,99,7,11,17,11.0,567.1723510204083,0.1234656771799629,1.3581224489795918,208.96488362596978,403.0,55.904,98.0,0.0,1.0,0,0.0,1.0
6,6,rand_st,0.2,0.97,97,7,10,16,10.0,568.3770541666668,0.13871250000000002,1.387125,197.64288694201085,401.0,54.836,96.0,0.0,1.0,0,0.0,1.0
7,6,rand_st,0.2,0.66,66,8,9,15,13.0,562.1578646153847,0.09875029585798817,1.283753846153846,109.73106060606061,404.0,38.556,65.0,0.0,1.0,0,0.0,1.0
8,6,rand_st,0.2,1.0,100,6,15,18,11.0,570.3972242424244,0.12768778696051422,1.4045656565656566,177.43663406682967,410.0,53.948,99.0,0.0,1.0,0,0.0,1.0
9,6,rand_st,0.2,0.91,91,9,10,17,12.0,564.932088888889,0.11096296296296296,1.3315555555555556,247.48205351316076,403.0,53.16,90.0,0.0,1.0,0,0.0,1.0
10,6,rand_st,0.2,0.75,75,8,9,14,10.0,564.0083675675676,0.13194594594594594,1.3194594594594593,173.55258177885915,307.0,44.36,74.0,0.0,1.0,0,0.0,1.0
11,6,rand_st,0.2,0.87,87,10,17,22,11.0,563.1744930232559,0.11742071881606765,1.2916279069767442,246.27615258600514,606.0,50.92,86.0,0.0,1.0,0,0.0,1.0
12,6,rand_st,0.2,0.98,98,6,9,15,10.0,568.427068041237,0.13785567010309277,1.3785567010309279,172.10582444626743,307.0,54.28,97.0,0.0,1.0,0,0.0,1.0
13,6,rand_st,0.2,0.65,65,9,6,14,13.0,559.0903312500001,0.09547596153846154,1.2411875,63.848833493128794,113.0,39.564,64.0,0.0,1.0,0,0.0,1.0
14,6,rand_st,0.2,0.89,89,8,10,16,11.0,569.14655,0.126896694214876,1.3958636363636365,248.76276076342654,504.0,50.164,88.0,0.0,1.0,0,0.0,1.0
15,6,rand_st,0.2,1.0,100,8,12,16,11.0,567.5671757575758,0.12365840220385675,1.3602424242424243,214.5360369403734,408.0,55.336,99.0,0.0,1.0,0,0.0,1.0
16,6,rand_st,0.2,0.74,74,8,7,13,11.0,562.0535835616438,0.11732503113325032,1.2905753424657536,83.62637665198238,210.0,43.788,73.0,0.0,1.0,0,0.0,1.0
17,6,rand_st,0.2,0.94,94,7,10,15,11.0,567.8363311827958,0.12511827956989244,1.3763010752688174,181.63978965819456,402.0,53.004,93.0,0.0,1.0,0,0.0,1.0
18,6,rand_st,0.2,0.71,71,6,6,14,13.0,563.0033542857143,0.10070769230769232,1.3092000000000001,140.24400684931507,306.0,42.356,70.0,0.0,1.0,0,0.0,1.0
19,6,rand_st,0.2,0.79,79,8,9,13,10.0,564.9351384615386,0.13236923076923074,1.3236923076923077,154.35337206365244,309.0,44.752,78.0,0.0,1.0,0,0.0,1.0
20,6,rand_st,0.2,0.72,72,9,10,15,12.0,564.1398647887324,0.11036619718309859,1.324394366197183,192.94770693512305,402.0,42.968,71.0,0.0,1.0,0,0.0,1.0
21,6,rand_st,0.2,0.99,99,6,9,15,10.0,568.1579959183673,0.13761224489795915,1.3761224489795918,170.4774011299435,305.0,55.14,98.0,0.0,1.0,0,0.0,1.0
22,6,rand_st,0.2,0.6,60,7,8,15,14.0,563.5336745762712,0.09324455205811139,1.305423728813559,122.22483793926988,301.0,34.98,59.0,0.0,1.0,0,0.0,1.0
23,6,rand_st,0.2,1.0,100,7,16,21,11.0,570.2542747474748,0.12794490358126723,1.4073939393939394,355.29875687792946,603.0,55.668,99.0,0.0,1.0,0,0.0,1.0
24,6,rand_st,0.2,0.89,89,10,7,16,14.0,560.3746454545455,0.09027272727272728,1.263818181818182,115.55026094849104,211.0,54.784,88.0,0.0,1.0,0,0.0,1.0
25,6,rand_st,0.2,1.0,100,7,9,16,11.0,569.2842545454546,0.1268356290174472,1.395191919191919,173.44535301156762,309.0,54.876,99.0,0.0,1.0,0,0.0,1.0
26,6,rand_st,0.2,0.99,99,6,12,18,11.0,568.0949918367348,0.12467903525046381,1.371469387755102,210.41105527638192,408.0,55.596,98.0,0.0,1.0,0,0.0,1.0
27,6,rand_st,0.2,0.94,94,7,11,18,11.0,567.2492860215053,0.12321798631476048,1.3553978494623657,250.04775042444822,407.0,52.948,93.0,0.0,1.0,0,0.0,1.0
28,6,rand_st,0.2,0.97,97,7,17,21,10.0,569.9527166666668,0.14061666666666667,1.4061666666666666,224.23397169025813,503.0,54.008,96.0,0.0,1.0,0,0.0,1.0
29,6,rand_st,0.2,0.98,98,9,9,15,12.0,565.3081319587628,0.1110240549828179,1.3322886597938146,140.82899159663864,309.0,56.768,97.0,0.0,1.0,0,0.0,1.0
30,6,rand_st,0.2,0.91,91,8,9,15,12.0,566.1427333333334,0.11172962962962962,1.3407555555555557,186.98730575618296,309.0,51.332,90.0,0.0,1.0,0,0.0,1.0
31,6,rand_st,0.2,0.66,66,6,8,14,11.0,568.4056800000001,0.12511888111888111,1.3763076923076922,209.71794871794873,303.0,36.54,65.0,0.0,1.0,0,0.0,1.0
32,6,rand_st,0.2,0.73,73,8,8,13,10.0,564.3074555555555,0.1313111111111111,1.3131111111111113,172.67208064967795,406.0,41.456,72.0,0.0,1.0,0,0.0,1.0
33,6,rand_st,0.2,0.97,97,9,7,15,12.0,567.0095958333335,0.11417013888888888,1.3700416666666668,163.15855411788868,308.0,56.476,96.0,0.0,1.0,0,0.0,1.0
34,6,rand_st,0.2,0.98,98,8,9,16,10.0,565.8702103092784,0.13397113402061853,1.3397113402061855,214.33494266747132,402.0,56.048,97.0,0.0,1.0,0,0.0,1.0
35,6,rand_st,0.2,0.95,95,7,8,15,10.0,570.7072765957448,0.1416340425531915,1.416340425531915,169.1955882352941,307.0,51.864,94.0,0.0,1.0,0,0.0,1.0
36,6,rand_st,0.2,0.81,81,6,9,14,9.0,565.7710150000001,0.14964999999999998,1.3468499999999999,143.61501024590163,401.0,46.252,80.0,0.0,1.0,0,0.0,1.0
37,6,rand_st,0.2,0.87,87,11,10,15,12.0,563.4690930232559,0.10794961240310076,1.2953953488372094,139.18520275077069,309.0,49.596,86.0,0.0,1.0,0,0.0,1.0
38,6,rand_st,0.2,0.81,81,6,9,16,13.0,565.0177750000001,0.10257307692307693,1.33345,135.62112427527097,306.0,47.324,80.0,0.0,1.0,0,0.0,1.0
39,6,rand_st,0.2,0.95,95,8,11,15,12.0,564.9979276595744,0.1107836879432624,1.329404255319149,175.8860759493671,404.0,55.036,94.0,0.0,1.0,0,0.0,1.0
0,6,rand_dt,0.2,0.96,96,8,7,15,13.52,562.4173684210526,0.09651326778484673,1.3024421052631578,172.2821941289908,405.0,59.268,95.0,0.0,1.0,0,0.0,1.0
1,6,rand_dt,0.2,0.85,85,7,10,15,11.812,563.9569238095238,0.11306504210075638,1.3324761904761904,187.30032925682033,412.0,52.072,84.0,0.0,1.0,0,0.0,1.0
2,6,rand_dt,0.2,0.96,96,7,14,18,11.528,565.5963915789474,0.1168914208598419,1.3437052631578947,279.3765312701483,702.0,56.348,95.0,0.0,1.0,0,0.0,1.0
3,6,rand_dt,0.2,0.92,92,8,9,17,12.34,567.0748043956044,0.11178295696977016,1.3773186813186813,249.11498708010336,503.0,54.664,91.0,0.0,1.0,0,0.0,1.0
4,6,rand_dt,0.2,1.0,100,8,10,16,12.408,563.4173656565657,0.10581030081030082,1.3106262626262626,183.71402623612514,409.0,60.248,99.0,0.0,1.0,0,0.0,1.0
5,6,rand_dt,0.2,0.99,99,7,11,17,11.896,564.0076693877551,0.11138618184536553,1.3211020408163265,280.28388538914857,605.0,59.532,98.0,0.0,1.0,0,0.0,1.0
6,6,rand_dt,0.2,0.97,97,7,10,16,10.604,565.3892291666667,0.12784292929292929,1.3520416666666666,202.54849568693456,408.0,58.204,96.0,0.0,1.0,0,0.0,1.0
7,6,rand_dt,0.2,0.66,66,8,9,15,12.756,559.8065230769232,0.09873538359076821,1.2548923076923078,132.13308223477716,312.0,40.432,65.0,0.0,1.0,0,0.0,1.0
8,6,rand_dt,0.2,1.0,100,6,15,18,10.468,566.2699070707072,0.13003607795122946,1.3569292929292929,301.77084595194833,708.0,58.664,99.0,0.0,1.0,0,0.0,1.0
9,6,rand_dt,0.2,0.91,91,9,10,17,12.384,562.1627066666667,0.10505669515669516,1.2981777777777779,202.22305323361198,408.0,56.164,90.0,0.0,1.0,0,0.0,1.0
10,6,rand_dt,0.2,0.75,75,8,9,14,10.228,561.3344756756758,0.12607755937755938,1.2873513513513513,207.16122994652406,406.0,46.736,74.0,0.0,1.0,0,0.0,1.0
11,6,rand_dt,0.2,0.87,87,10,17,22,11.308,559.3417069767443,0.11056258470211959,1.2477674418604652,362.26155688622754,909.0,54.692,86.0,0.0,1.0,0,0.0,1.0
12,6,rand_dt,0.2,0.98,98,6,9,15,9.84,565.4076824742267,0.1368465687805894,1.3428865979381444,203.29105987055016,408.0,57.74,97.0,0.0,1.0,0,0.0,1.0
13,6,rand_dt,0.2,0.65,65,9,6,14,13.092,557.5311187500001,0.0935196771978022,1.2210625,130.55663329161453,310.0,40.852,64.0,0.0,1.0,0,0.0,1.0
14,6,rand_dt,0.2,0.89,89,8,10,16,11.736,566.5138954545455,0.11665423969969424,1.3651363636363636,255.62943262411346,506.0,52.868,88.0,0.0,1.0,0,0.0,1.0
15,6,rand_dt,0.2,1.0,100,8,12,16,10.856,563.3021656565656,0.12105607591062136,1.3097373737373739,226.42321792260694,507.0,60.336,99.0,0.0,1.0,0,0.0,1.0
16,6,rand_dt,0.2,0.74,74,8,7,13,10.796,559.2468000000001,0.11674574192930358,1.2559452054794522,131.89650310208685,309.75,46.316,73.0,0.0,1.0,0,0.0,1.0
17,6,rand_dt,0.2,0.94,94,7,10,15,10.476,565.4845032258066,0.12919216983733112,1.3481720430107524,199.11882251826387,501.0,55.62,93.0,0.0,1.0,0,0.0,1.0
18,6,rand_dt,0.2,0.71,71,6,6,14,12.616,561.179742857143,0.10220136054421769,1.2865714285714287,144.57807981492192,306.0,43.94,70.0,0.0,1.0,0,0.0,1.0
19,6,rand_dt,0.2,0.79,79,8,9,13,10.376,561.7604410256412,0.12434853465622697,1.2855384615384615,179.25558695093758,409.0,47.728,78.0,0.0,1.0,0,0.0,1.0
20,6,rand_dt,0.2,0.72,72,9,10,15,12.044,561.7278197183099,0.10760707836764175,1.2957746478873242,232.93405963302752,502.0,45.0,71.0,0.0,1.0,0,0.0,1.0
21,6,rand_dt,0.2,0.99,99,6,9,15,10.124,565.155530612245,0.1327896928468357,1.3404489795918366,191.6914423463238,407.0,58.636,98.0,0.0,1.0,0,0.0,1.0
22,6,rand_dt,0.2,0.6,60,7,8,15,12.844,560.7641423728815,0.09927795368473334,1.2722033898305085,153.36925675675676,401.0,36.94,59.0,0.0,1.0,0,0.0,1.0
23,6,rand_dt,0.2,1.0,100,7,16,21,11.264,566.834686868687,0.1216525629252902,1.3684444444444444,450.5066340069402,805.0,59.524,99.0,0.0,1.0,0,0.0,1.0
24,6,rand_dt,0.2,0.89,89,10,7,16,13.976,558.3340272727273,0.0888509324009324,1.238909090909091,148.13563218390806,309.0,56.976,88.0,0.0,1.0,0,0.0,1.0
25,6,rand_dt,0.2,1.0,100,7,9,16,10.816,565.8473616161616,0.12561993360175178,1.3541010101010102,209.9626522867985,502.0,58.944,99.0,0.0,1.0,0,0.0,1.0
26,6,rand_dt,0.2,0.99,99,6,12,18,11.252,564.3389346938776,0.11840659816374102,1.3282857142857143,266.7148117839607,508.0,59.828,98.0,0.0,1.0,0,0.0,1.0
27,6,rand_dt,0.2,0.94,94,7,11,18,10.796,563.7143139784946,0.12210739654610622,1.3145806451612903,272.28259486962054,511.0,56.744,93.0,0.0,1.0,0,0.0,1.0
28,6,rand_dt,0.2,0.97,97,7,17,21,10.064,566.1400166666667,0.13565441919191917,1.3626666666666665,382.70178759200843,1003.0,58.184,96.0,0.0,1.0,0,0.0,1.0
29,6,rand_dt,0.2,0.98,98,9,9,15,12.584,562.8517608247423,0.1038588421887391,1.3036701030927833,183.62329615861213,411.0,59.544,97.0,0.0,1.0,0,0.0,1.0
30,6,rand_dt,0.2,0.91,91,8,9,15,12.004,562.60148,0.10820569800569801,1.2988888888888892,197.94772827525364,409.0,55.1,90.0,0.0,1.0,0,0.0,1.0
31,6,rand_dt,0.2,0.66,66,6,8,14,11.388,564.7161600000002,0.11735872332795409,1.3334153846153844,238.175855513308,406.0,39.328,65.0,0.0,1.0,0,0.0,1.0
32,6,rand_dt,0.2,0.73,73,8,8,13,10.392,561.630711111111,0.12357382154882154,1.281111111111111,157.12195804195804,405.0,43.76,72.0,0.0,1.0,0,0.0,1.0
33,6,rand_dt,0.2,0.97,97,9,7,15,12.156,564.2211791666667,0.1101116452991453,1.3375416666666664,203.72546201232032,406.0,59.596,96.0,0.0,1.0,0,0.0,1.0
34,6,rand_dt,0.2,0.98,98,8,9,16,10.056,563.2883999999999,0.13022268041237112,1.3089072164948452,216.80199401794616,505.0,59.036,97.0,0.0,1.0,0,0.0,1.0
35,6,rand_dt,0.2,0.95,95,7,8,15,10.172,567.4908595744681,0.13577491940683428,1.3789787234042556,226.83718487394958,406.0,55.376,94.0,0.0,1.0,0,0.0,1.0
36,6,rand_dt,0.2,0.81,81,6,9,14,10.232,562.8627450000001,0.1285841414141414,1.31155,145.98495281815863,401.0,49.076,80.0,0.0,1.0,0,0.0,1.0
37,6,rand_dt,0.2,0.87,87,11,10,15,12.436,560.9365860465118,0.10196690131573852,1.264186046511628,176.73361722261652,412.0,52.28,86.0,0.0,1.0,0,0.0,1.0
38,6,rand_dt,0.2,0.81,81,6,9,16,13.556,562.449895,0.09633198717948718,1.3028499999999998,186.5371756487026,410.0,49.772,80.0,0.0,1.0,0,0.0,1.0
39,6,rand_dt,0.2,0.95,95,8,11,15,12.06,561.5451787234043,0.10717548763293445,1.2889787234042551,169.13254564983887,410.0,58.836,94.0,0.0,1.0,0,0.0,1.0
0,6,static,0.2,0.96,96,8,7,15,15.0,565.5676126315791,0.08927438596491229,1.3391157894736843,13.967587783087472,15.0,55.784,95.0,0.0,1.0,0,0.0,1.0
1,6,static,0.2,0.85,85,7,10,15,15.0,567.2325857142857,0.09137460317460318,1.3706190476190476,13.071146245059289,15.0,48.868,84.0,0.0,1.0,0,0.0,1.0
2,6,static,0.2,0.96,96,7,14,18,18.0,571.346572631579,0.07836023391812866,1.410484210526316,15.387988362427265,18.0,50.004,95.0,0.0,1.0,0,0.0,1.0
3,6,static,0.2,0.92,92,8,9,17,17.0,569.9395999999999,0.0829502262443439,1.410153846153846,15.96203080928618,17.0,51.676,91.0,0.0,1.0,0,0.0,1.0
4,6,static,0.2,1.0,100,8,10,16,16.0,566.3456404040404,0.08405050505050506,1.344808080808081,14.204642638973732,16.0,56.864,99.0,0.0,1.0,0,0.0,1.0
5,6,static,0.2,0.99,99,7,11,17,17.0,567.2103102040817,0.07992316926770707,1.3586938775510207,14.724729426179293,17.0,55.848,98.0,0.0,1.0,0,0.0,1.0
6,6,static,0.2,0.97,97,7,10,16,16.0,568.4700083333333,0.086765625,1.38825,14.469315581443729,16.0,54.728,96.0,0.0,1.0,0,0.0,1.0
7,6,static,0.2,0.66,66,8,9,15,15.0,561.8539938461539,0.08535794871794872,1.280369230769231,12.758914484064373,15.0,38.776,65.0,0.0,1.0,0,0.0,1.0
8,6,static,0.2,1.0,100,6,15,18,18.0,570.5758222222222,0.07813692480359148,1.4064646464646464,15.277189409368635,18.0,53.76,99.0,0.0,1.0,0,0.0,1.0
9,6,static,0.2,0.91,91,9,10,17,17.0,564.9504400000001,0.0783503267973856,1.3319555555555558,14.943695652173913,17.0,53.124,90.0,0.0,1.0,0,0.0,1.0
10,6,static,0.2,0.75,75,8,9,14,14.0,563.8170864864865,0.09411969111969111,1.3176756756756756,12.10275824770146,14.0,44.492,74.0,0.0,1.0,0,0.0,1.0
11,6,static,0.2,0.87,87,10,17,22,22.0,562.8791488372094,0.05858985200845666,1.2889767441860465,18.624443924139545,22.0,51.148,86.0,0.0,1.0,0,0.0,1.0
12,6,static,0.2,0.98,98,6,9,15,15.0,569.2119546391755,0.09250584192439862,1.3875876288659792,12.66748717948718,15.0,53.404,97.0,0.0,1.0,0,0.0,1.0
13,6,static,0.2,0.65,65,9,6,14,14.0,559.1458,0.08866071428571427,1.24125,11.568789808917197,14.0,39.56,64.0,0.0,1.0,0,0.0,1.0
14,6,static,0.2,0.89,89,8,10,16,16.0,569.1311045454545,0.08722443181818182,1.395590909090909,15.441274793848898,16.0,50.188,88.0,0.0,1.0,0,0.0,1.0
15,6,static,0.2,1.0,100,8,12,16,16.0,567.0384646464647,0.08462626262626263,1.3540202020202021,13.361116690098413,16.0,55.952,99.0,0.0,1.0,0,0.0,1.0
16,6,static,0.2,0.74,74,8,7,13,13.0,561.9978356164385,0.09924973656480506,1.290246575342466,10.748758963044677,13.0,43.812,73.0,0.0,1.0,0,0.0,1.0
17,6,static,0.2,0.94,94,7,10,15,15.0,568.4425505376345,0.09220645161290324,1.3830967741935483,13.124125874125873,15.0,52.372,93.0,0.0,1.0,0,0.0,1.0
18,6,static,0.2,0.71,71,6,6,14,14.0,563.1820857142858,0.09366122448979593,1.3112571428571427,11.104047890535918,14.0,42.212,70.0,0.0,1.0,0,0.0,1.0
19,6,static,0.2,0.79,79,8,9,13,13.0,564.7296051282053,0.10166074950690336,1.3215897435897437,11.229251012145749,13.0,44.916,78.0,0.0,1.0,0,0.0,1.0
20,6,static,0.2,0.72,72,9,10,15,15.0,564.0643492957747,0.08826291079812207,1.3239436619718308,13.656004489337823,15.0,43.0,71.0,0.0,1.0,0,0.0,1.0
21,6,static,0.2,0.99,99,6,9,15,15.0,568.2044816326531,0.09176598639455781,1.3764897959183673,12.803427419354838,15.0,55.104,98.0,0.0,1.0,0,0.0,1.0
22,6,static,0.2,0.6,60,7,8,15,15.0,563.2278644067796,0.08677062146892654,1.3015593220338983,13.562521411442274,15.0,35.208,59.0,0.0,1.0,0,0.0,1.0
23,6,static,0.2,1.0,100,7,16,21,21.0,570.5514060606063,0.06717267917267918,1.4106262626262627,20.60342717258262,21.0,55.348,99.0,0.0,1.0,0,0.0,1.0
24,6,static,0.2,0.89,89,10,7,16,16.0,560.7202318181819,0.07919602272727272,1.2671363636363635,14.125707814269536,16.0,54.492,88.0,0.0,1.0,0,0.0,1.0
25,6,static,0.2,1.0,100,7,9,16,16.0,569.1062747474748,0.08706818181818181,1.393090909090909,13.705823494096459,16.0,55.084,99.0,0.0,1.0,0,0.0,1.0
26,6,static,0.2,0.99,99,6,12,18,18.0,567.8333714285716,0.07601814058956916,1.3683265306122447,15.605321507760532,18.0,55.904,98.0,0.0,1.0,0,0.0,1.0
27,6,static,0.2,0.94,94,7,11,18,18.0,567.1745548387098,0.07525448028673835,1.3545806451612903,16.022292993630572,18.0,53.024,93.0,0.0,1.0,0,0.0,1.0
28,6,static,0.2,0.97,97,7,17,21,21.0,570.2558,0.06712698412698413,1.4096666666666666,16.820250521920666,21.0,53.672,96.0,0.0,1.0,0,0.0,1.0
29,6,static,0.2,0.98,98,9,9,15,15.0,565.4767670103092,0.08894570446735395,1.3341855670103093,13.27282244556114,15.0,56.584,97.0,0.0,1.0,0,0.0,1.0
